aid,view,danmaku,favorite,coin,share
38606984,102,0,5,4,2
38607955,81,1,5,10,0
38607054,47,0,1,4,1
38599583,52929,2445,219,390,30
38605155,12,1,1,5,0
38207304,77,6,1,4,1
38206069,227,1,3,3,0
38206795,85,2,3,5,1
38205366,50,2,13,16,1
38204258,11435,26,429,111,290
38204764,32,1,2,2,0
38202620,43,1,3,6,2
38202413,472,10,42,70,1
38204022,612,2,29,6,1
38204012,228,3,4,6,3
38202354,89,22,1,6,0
38160695,21252,209,451,137,42
38200362,1305,4,47,50,3
38199062,373,0,2,1,6
38199545,72,1,1,4,0
38197949,77,0,0,2,0
38198258,53,5,3,6,1
38198560,38,0,1,4,2
37986486,603,9,40,18,0
38134934,41,0,4,1,0
38192080,44,0,0,2,2
38193318,33,23,1,2,1
38192167,5763,59,164,233,40
38190482,43,0,1,2,2
38173684,601,162,27,42,25
38191064,330,1,15,2,0
38188707,88513,1479,2176,9229,2764
38190359,5536,7,184,125,19
38177101,95129,1325,7747,7511,1074
38189137,73,1,3,4,0
38162679,12888,116,764,614,88
38172068,109,0,0,2,0
38186336,113,0,0,1,1
38603038,33,0,2,2,0
38589034,44444,116,895,2103,232
38602971,22,0,0,1,1
38604748,169,1,14,25,4
38600277,208,0,11,6,0
38601939,24,2,2,1,0
38601218,3194,11,71,93,18
38603162,523,4,6,6,3
38602969,34,0,1,4,0
38600261,25,0,0,3,0
38597561,110,0,9,21,3
38596404,179,3,7,13,3
38598117,136,2,5,5,0
38597247,99,1,2,8,1
38595793,210,1,6,14,1
38596877,1160,3,54,37,1
38595589,275,1,6,20,2
38594284,92,0,4,2,0
38595103,18,1,2,2,0
38594041,74,0,1,4,2
38592540,2374,25,118,147,9
38593146,60,0,6,10,1
38592021,126,0,3,7,1
38589026,28,0,0,2,1
38589432,591,4,24,1,0
38585710,20,1,0,1,0
38586841,46,0,1,4,4
38584306,132,3,0,2,1
38585062,981,9,73,71,10
38580325,17,0,1,1,0
38583145,8,0,2,2,1
38579022,38,2,0,2,1
38579596,88,0,4,2,2
38579412,49,0,0,4,0
38577630,119,0,0,6,2
38576605,11,0,1,4,1
38575277,5286,53,574,434,58
38573611,237,1,1,1,0
38573652,39,1,3,5,1
38492667,21,2,3,2,4
38572006,126,1,3,2,1
38538630,2124,21,11,19,8
38571139,69,0,4,2,1
38570618,136,1,5,15,1
38563664,54,1,0,2,0
38562494,6877,37,234,266,21
38563052,10,0,2,1,1
38562481,4606,35,110,54,5
38562340,57,0,5,8,4
38554537,13045,186,231,202,80
38534474,210,1,8,12,0
38559055,2747,24,63,48,5
38558487,9087,157,426,343,21
38558735,1605,15,143,38,5
38558564,494,47,22,43,7
38557365,5605,55,119,39,0
38555612,5311,49,156,106,3
38552835,95,0,4,7,2
38553755,21,0,1,3,1
38557032,51,2,2,9,2
38552306,48,0,1,2,1
38555998,56,1,0,2,0
38551674,66,0,2,4,2
38555011,2670,0,8,12,0
38551045,12,0,1,2,1
38550423,55,1,1,6,2
38554552,105,8,3,16,0
38553416,28,0,1,2,0
38548470,16,0,1,2,0
38548269,61,0,3,2,3
38548242,77,0,4,11,2
38547981,310,1,6,6,1
38548116,29,0,1,2,0
38550387,94,0,3,6,1
38543929,315,2,11,24,8
38546224,803,0,5,1,2
38544814,100,1,4,3,1
38545125,1315,4,44,5,3
38546989,46,0,0,2,0
38547770,1029,2,31,7,0
38544662,108,0,1,4,1
38543724,3688,66,194,204,8
38545254,56,0,0,2,0
38543299,1274,18,27,49,21
38542800,48,1,2,8,2
38541936,173,3,8,8,3
38542394,52,0,5,12,1
38541171,3787,216,133,335,5
38539930,349,3,3,33,6
38540349,1230,8,60,26,3
38540579,85,3,3,3,1
38540481,44,0,0,1,0
38515943,919,11,10,9,2
38537157,79,0,2,8,0
38538067,163,2,1,7,2
38536270,1744,8,77,10,2
38535465,3084,30,95,5,1
38536284,336,5,9,2,2
38536312,29,0,0,2,0
38536103,92,1,1,2,4
38535200,50,0,6,8,2
38530844,96572,293,2994,4067,328
38533311,127,0,0,2,1
38533073,147,3,3,14,1
38529880,442,2,13,21,1
38528150,3273,26,108,43,4
38529723,70,0,1,4,1
38527750,1207,16,6,7,4
38525519,79,0,4,2,0
38527278,2265,0,1,4,1
38526789,205,0,4,3,0
38525031,14,2,3,2,1
38524272,373,0,2,2,2
38520704,83,1,6,14,4
38519886,3529,12,50,48,3
38518046,546,9,9,9,1
38517787,175,3,3,2,1
38516981,252,7,5,6,0
38516833,223,0,1,2,1
38516322,189,0,2,4,0
38511978,7364,128,281,243,5
38510368,116,2,0,2,2
38506040,66537,148,2568,2376,221
38508235,923,4,23,14,2
38506522,39,0,5,2,0
38505436,30,0,2,1,0
38504870,10,0,0,3,0
38502813,1403,8,37,46,19
38500553,196,8,2,2,9
38500029,109,0,3,6,3
38498601,859,5,50,38,4
38498291,206,0,2,4,6
38486665,3761,10,98,18,1
38494773,54,0,0,2,1
38493941,2495,23,81,32,7
38489031,126,0,2,11,1
38492592,146,0,3,4,0
38475992,97,2,9,12,3
37978161,65,0,4,11,0
38488561,145,10,5,12,4
38484977,15327,23,152,271,41
38487650,3252,20,34,112,13
38488996,81,0,4,8,0
38487476,81,0,0,6,1
38484250,120,0,6,4,0
38482792,92,1,7,12,2
38483745,19,0,1,2,0
38483978,27,1,0,4,1
38483739,3160,29,84,83,3
38481468,1943,48,91,61,1
38481074,68,0,5,4,2
38479445,1223,1,85,38,17
38483062,10539,79,155,84,5
38481986,101,1,2,15,1
38481158,281,0,4,4,0
38475265,25,1,3,6,1
38473347,227,1,6,10,2
38472465,11,0,0,1,0
38473209,1710,2,20,6,0
38471160,141,0,9,33,0
38469144,13796,54,326,450,94
38467498,43,0,2,2,0
38467081,132,1,5,12,2
38466189,77,0,0,4,2
38465122,662,10,10,15,2
38463494,756,3,35,12,1
38462871,487,2,5,16,2
38456517,3480,20,35,56,19
38458444,33,0,2,3,1
38458459,18,0,1,1,0
38456239,1237,7,55,4,1
38454392,22,0,0,2,2
38451512,219,0,5,15,2
38450167,699,3,17,14,4
38447476,42,0,0,2,0
38446370,230807,679,21875,24596,2070
38445291,93,3,3,16,2
38444665,11,0,1,2,0
38444522,136,2,3,16,3
38443300,167585,5199,7008,8918,5074
38444304,92,0,0,6,0
38443462,145,0,0,6,0
38442470,17,0,1,2,0
38441262,2574,48,86,73,18
38441435,3634,22,137,79,8
38438984,180,0,6,6,0
38439845,7187,45,997,1081,216
38439562,92,0,6,4,2
38438586,41,0,0,2,0
38435720,73,0,0,2,0
38436725,215,1,5,2,3
38436516,3530,72,340,287,56
38435130,33,0,1,4,0
38434694,6,0,0,1,0
38434050,10,0,2,1,0
38433732,101,2,11,20,4
38433910,745,9,22,38,9
38414624,1754,8,21,70,20
38428421,13,0,0,2,0
38625590,18,0,0,4,0
38645606,1,0,0,2,0
38644666,1903,5,21,15,4
38642675,280,1,5,3,0
38625883,2121,8,7,21,4
38573164,913,23,13,47,6
38642683,595,35,4,8,2
38643014,105,0,3,4,0
38642936,19,0,0,2,0
38642337,32,0,1,2,0
38589329,26,0,1,3,1
38512673,32,0,1,6,0
38256992,221,2,2,4,0
38587038,29,0,0,1,0
38585619,815,0,42,1,0
38584829,432,3,1,4,0
38587955,860,0,8,4,6
38582020,1333,1,21,10,0
38583903,73,0,7,5,0
38585741,239,0,2,2,0
38577575,51,0,1,1,0
38583497,31,0,1,2,0
38585015,850,0,72,3,0
38584967,5,0,1,1,0
38583759,36,0,1,4,1
38585962,401,0,25,13,0
38583227,159,0,3,4,1
38580351,435,0,24,2,0
38582068,141,0,1,3,1
38577332,81,0,1,4,2
38581423,303,0,6,5,0
38576460,9790,29,153,18,108
38577704,359,0,18,2,0
38577907,5263,3,62,13,12
38577820,92,0,2,2,0
38577768,1403,4,10,6,1
38576827,18,0,0,2,1
38575997,492,0,32,2,0
38574789,58,0,1,2,0
38576606,234,0,5,2,2
38576290,1280,4,10,22,1
