id,name,rank,fans,articles
97,投影消逝中,0.00201512586086213,3485,551
2123683,Nova九筒,0.0006886201982718511,14643,45
3766866,科技美学,0.00041059823823686695,3178,5
325692,南和叶,0.0008302016161556537,11873,18
3004343,永远的长安,0.00044005785522412057,1301,57
521444,西四硬汉已弃疗,0.0005718277596249351,5653,11
118565,Simmonsn,0.0002978034122517653,1622,140
188294,YGY,0.0002908129251501889,1373,12
2760437,514235968,0.00026582720043598416,1008,1
145047,东非大裂谷,0.0009328721368452034,5787,24
15810,Mr.Quin,0.0011857549980501805,5973,57
196330,FREEDOM54,0.0003116492714222879,2387,110
94955,shiho,0.00036036135282856586,2594,334
38563,战场の女武神,0.0003888044670611391,4147,38
826317,野草凌云,0.0005032291981913323,9532,188
768041,CJ木,0.00047224190328749936,1986,1771
56613,妖刀罪歌,0.0028994863214877663,7132,1209
387549,南家小唯,0.0004128474990771376,7536,65
151892,猫狐狸kk,0.0003340503776552102,1856,43
89357,时空游客,0.0010929465216009738,1588,19
61709,黑白双瞳,0.0004221263706511554,1487,306
Su,Paul,0.0002562300849604589,4716,29
3307964,Ksssssss陈彬,0.0007565286669759246,2424,13
192829,清风之恋,0.00036422104273459654,1950,15
353655,⑨⑨酱,0.0013787297866912395,5041,24
225768,kikou,0.001067269867745906,2202,320
549222,小熊纯一郎,0.00047302248846468073,1450,25
64459,arios,0.0009390112024300756,3204,85
119418,赤九玖,0.0022119750702244995,6771,32
526533,兰豆子,0.0007172463665489012,1742,345
201881,20阿噜,0.0007477280118034424,2109,13
145559,Kumiko梓,0.00026187429343698385,1423,10
860533,草泥马之光,0.00025623007994262194,1441,40
313861,封圣剑客,0.0004179510447333757,2691,317
461632,海岸线动画,0.0011258269066371652,24346,8
510196,sleepwalking,0.0004420670017716284,1163,7
337006,五色石南叶,0.0007252916859751968,11649,45
8756,景景,0.0006101602557796226,1425,36
364316,桜喵,0.0013246421970095127,2149,25
350235,小一二P,0.001041133511904035,1546,12
13046,少年Pi,0.0013796976422470123,44279,53
2057137,i-DoMain,0.0002869257433681215,1025,3
3351,林大B,0.0015088575357062469,1001,19
3848573,蟹肉小圆子,0.0003714891776560046,1102,4
1890082,以天为名的NANA,0.000385806415186362,2511,9
111254,杉田朗,0.0011360432833824106,1293,32
323856,芷昔momo,0.00027777379277351126,2066,4
834635,黑玛瑙,0.000260902891468328,1311,13
304285,Flexin（発光p）,0.000781718074804645,3262,36
201434,括号君,0.0024523430183594377,53233,29
221607,浅见莉莉斯,0.0003029287376244283,1253,26
273898,软木,0.0005334182409773408,6575,41
7454,Usa225,0.00031365550800371074,3471,33
168694,Sonic君,0.0002987937955410573,1113,1595
748728,三查口十,0.00041318859831418074,1079,162
131225,三辰音MAD学会,0.0005717005604900427,1297,20
2548989,想不到5,0.002208803455789675,1099,69
643576,三味社,0.0007006513065193187,1614,22
61112,黑桃Q,0.00035361539107377313,21405,68
1267341,天然纯种受,0.0007333749641136897,1092,100
1978511,久任,0.0005529400195443118,3011,4
274557,讲谈社,0.00036519560432596553,1841,223
532464,无音乐社,0.00027860748331155793,1013,24
2990645,懒惰老外,0.0003205173649252477,5800,2
107959,哈露ちゃん,0.000957754984421186,2805,25
89633,芽米,0.0007430190930068885,1222,27
15094,fumo,0.0003983814730474792,2197,890
1688405,気晴らしする,0.0004900993122692193,1716,10
1852217,歌留,0.00045175606720800846,5543,8
60911,とあるAzige,0.0009338135844917824,1262,64
356004,随便点进来就注册了,0.0003219477703769163,1364,50
627770,三观以毁,0.0002988100735302437,1920,55
1665726,爱新觉罗腾飞,0.0002562300340526171,1065,37
1327059,abu实况搬运组,0.001480477812038021,2857,54
142774,逸逍遥,0.00030858063714646333,3076,151
227534,天罡水扇,0.00033424959190524634,2663,151
440040,盗版非卖品,0.000316747832561045,1565,32
634131,肥皂菌丨珉珉的猫咪丨,0.0004240313134688304,3801,13
530901,零度のtear,0.00034740807404426974,2417,5
196273,下限酱,0.0013283856266989064,23410,19
1746341,饺紫猫,0.0003623909292781103,1598,57
320170,土豪渣,0.0003374043522258734,1879,235
919244,皮诺Pino曹,0.0008044890466693465,3066,29
409356,时浅0w0,0.0004720619065297168,1810,45
531525,泽拉图道长,0.00041724161181417435,1340,82
918127,meinvm3,0.000267833209914667,5508,14
71106,⑨命猫Yukirei,0.00037727272709338924,1350,30
112428,阿良良木健,0.0013530484305462785,15495,41
96156,Angeliamadoka,0.0009620002544930449,6220,228
19653,小清水亜美,0.002181173511692533,35942,14000
322892,痒菊长,0.00152631711097607,13258,66
434039,新日,0.0003243476316865661,1863,355
67803,oneways,0.001363634230892518,1445,7
520116,枫叶逝去,0.0003512743794225858,1937,51
193470,紗由由,0.00028049177744735173,1018,11
629,真红の瞳,0.001313442693388078,1142,111
2276820,FoodForFun,0.0008570705349982218,10175,110
1740548,小伞一把,0.0011531717280675606,2900,68
3290819,汤美☆宝莉,0.0006654443219710146,1258,8
163615,水煮螃蟹,0.0011909891060106165,1801,88
259333,矮乐多Aliga,0.0005123261220191817,1912,4
23791,恋上☆飞雪,0.0008474210524600275,3113,40
36352,小香香,0.001041039467891246,3171,1081
159,黄泉之水,0.0015774378859070742,10191,83
100302,Evalia,0.001261048859373392,4562,12
298725,aaron11,0.0011937613567372535,3041,31
179628,天音かりん,0.0029660637724557323,4848,587
703432,爱的学长六道二落,0.0004563570432146837,6807,99
882467,Ddickky,0.0004245764811495735,1161,12
2100825,柚小悶,0.0006137546211469405,5795,2147
1470554,冰瞳魔羽,0.00043718666864808677,1322,169
